bin start	omega	hist_DD	hist_DR	hist_RR
102.750000	-nan	0	0	0
103.000000	-nan	0	0	0
103.250000	-nan	0	0	0
103.500000	-nan	0	0	0
103.750000	-nan	0	0	0
104.000000	-nan	0	0	0
104.250000	-nan	0	0	0
104.500000	-nan	0	0	0
104.750000	-nan	0	0	0
105.000000	-nan	0	0	0
105.250000	-nan	0	0	0
105.500000	-nan	0	0	0
105.750000	-nan	0	0	0
106.000000	-nan	0	0	0
106.250000	-nan	0	0	0
106.500000	-nan	0	0	0
106.750000	-nan	0	0	0
107.000000	-nan	0	0	0
107.250000	-nan	0	0	0
107.500000	-nan	0	0	0
107.750000	-nan	0	0	0
108.000000	-nan	0	0	0
108.250000	-nan	0	0	0
108.500000	-nan	0	0	0
108.750000	-nan	0	0	0
109.000000	-nan	0	0	0
109.250000	-nan	0	0	0
109.500000	-nan	0	0	0
109.750000	-nan	0	0	0
110.000000	-nan	0	0	0
110.250000	-nan	0	0	0
110.500000	-nan	0	0	0
110.750000	-nan	0	0	0
111.000000	-nan	0	0	0
111.250000	-nan	0	0	0
111.500000	-nan	0	0	0
111.750000	-nan	0	0	0
112.000000	-nan	0	0	0
112.250000	-nan	0	0	0
112.500000	-nan	0	0	0
112.750000	-nan	0	0	0
113.000000	-nan	0	0	0
113.250000	-nan	0	0	0
113.500000	-nan	0	0	0
113.750000	-nan	0	0	0
114.000000	-nan	0	0	0
114.250000	-nan	0	0	0
114.500000	-nan	0	0	0
114.750000	-nan	0	0	0
115.000000	-nan	0	0	0
115.250000	-nan	0	0	0
115.500000	-nan	0	0	0
115.750000	-nan	0	0	0
116.000000	-nan	0	0	0
116.250000	-nan	0	0	0
116.500000	-nan	0	0	0
116.750000	-nan	0	0	0
117.000000	-nan	0	0	0
117.250000	-nan	0	0	0
117.500000	-nan	0	0	0
117.750000	-nan	0	0	0
118.000000	-nan	0	0	0
118.250000	-nan	0	0	0
118.500000	-nan	0	0	0
118.750000	-nan	0	0	0
119.000000	-nan	0	0	0
119.250000	-nan	0	0	0
119.500000	-nan	0	0	0
119.750000	-nan	0	0	0
120.000000	-nan	0	0	0
120.250000	-nan	0	0	0
120.500000	-nan	0	0	0
120.750000	-nan	0	0	0
121.000000	-nan	0	0	0
121.250000	-nan	0	0	0
121.500000	-nan	0	0	0
121.750000	-nan	0	0	0
122.000000	-nan	0	0	0
122.250000	-nan	0	0	0
122.500000	-nan	0	0	0
122.750000	-nan	0	0	0
123.000000	-nan	0	0	0
123.250000	-nan	0	0	0
123.500000	-nan	0	0	0
123.750000	-nan	0	0	0
124.000000	-nan	0	0	0
124.250000	-nan	0	0	0
124.500000	-nan	0	0	0
124.750000	-nan	0	0	0
125.000000	-nan	0	0	0
125.250000	-nan	0	0	0
125.500000	-nan	0	0	0
125.750000	-nan	0	0	0
126.000000	-nan	0	0	0
126.250000	-nan	0	0	0
126.500000	-nan	0	0	0
126.750000	-nan	0	0	0
127.000000	-nan	0	0	0
127.250000	-nan	0	0	0
127.500000	-nan	0	0	0
127.750000	-nan	0	0	0
128.000000	-nan	0	0	0
128.250000	-nan	0	0	0
128.500000	-nan	0	0	0
128.750000	-nan	0	0	0
129.000000	-nan	0	0	0
129.250000	-nan	0	0	0
129.500000	-nan	0	0	0
129.750000	-nan	0	0	0
130.000000	-nan	0	0	0
130.250000	-nan	0	0	0
130.500000	-nan	0	0	0
130.750000	-nan	0	0	0
131.000000	-nan	0	0	0
131.250000	-nan	0	0	0
131.500000	-nan	0	0	0
131.750000	-nan	0	0	0
132.000000	-nan	0	0	0
132.250000	-nan	0	0	0
132.500000	-nan	0	0	0
132.750000	-nan	0	0	0
133.000000	-nan	0	0	0
133.250000	-nan	0	0	0
133.500000	-nan	0	0	0
133.750000	-nan	0	0	0
134.000000	-nan	0	0	0
134.250000	-nan	0	0	0
134.500000	-nan	0	0	0
134.750000	-nan	0	0	0
135.000000	-nan	0	0	0
135.250000	-nan	0	0	0
135.500000	-nan	0	0	0
135.750000	-nan	0	0	0
136.000000	-nan	0	0	0
136.250000	-nan	0	0	0
136.500000	-nan	0	0	0
136.750000	-nan	0	0	0
137.000000	-nan	0	0	0
137.250000	-nan	0	0	0
137.500000	-nan	0	0	0
137.750000	-nan	0	0	0
138.000000	-nan	0	0	0
138.250000	-nan	0	0	0
138.500000	-nan	0	0	0
138.750000	-nan	0	0	0
139.000000	-nan	0	0	0
139.250000	-nan	0	0	0
139.500000	-nan	0	0	0
139.750000	-nan	0	0	0
140.000000	-nan	0	0	0
140.250000	-nan	0	0	0
140.500000	-nan	0	0	0
140.750000	-nan	0	0	0
141.000000	-nan	0	0	0
141.250000	-nan	0	0	0
141.500000	-nan	0	0	0
141.750000	-nan	0	0	0
142.000000	-nan	0	0	0
142.250000	-nan	0	0	0
142.500000	-nan	0	0	0
142.750000	-nan	0	0	0
143.000000	-nan	0	0	0
143.250000	-nan	0	0	0
143.500000	-nan	0	0	0
143.750000	-nan	0	0	0
144.000000	-nan	0	0	0
144.250000	-nan	0	0	0
144.500000	-nan	0	0	0
144.750000	-nan	0	0	0
145.000000	-nan	0	0	0
145.250000	-nan	0	0	0
145.500000	-nan	0	0	0
145.750000	-nan	0	0	0
146.000000	-nan	0	0	0
146.250000	-nan	0	0	0
146.500000	-nan	0	0	0
146.750000	-nan	0	0	0
147.000000	-nan	0	0	0
147.250000	-nan	0	0	0
147.500000	-nan	0	0	0
147.750000	-nan	0	0	0
148.000000	-nan	0	0	0
148.250000	-nan	0	0	0
148.500000	-nan	0	0	0
148.750000	-nan	0	0	0
149.000000	-nan	0	0	0
149.250000	-nan	0	0	0
149.500000	-nan	0	0	0
149.750000	-nan	0	0	0
150.000000	-nan	0	0	0
150.250000	-nan	0	0	0
150.500000	-nan	0	0	0
150.750000	-nan	0	0	0
151.000000	-nan	0	0	0
151.250000	-nan	0	0	0
151.500000	-nan	0	0	0
151.750000	-nan	0	0	0
152.000000	-nan	0	0	0
152.250000	-nan	0	0	0
152.500000	-nan	0	0	0
152.750000	-nan	0	0	0
153.000000	-nan	0	0	0
153.250000	-nan	0	0	0
153.500000	-nan	0	0	0
153.750000	-nan	0	0	0
154.000000	-nan	0	0	0
154.250000	-nan	0	0	0
154.500000	-nan	0	0	0
154.750000	-nan	0	0	0
155.000000	-nan	0	0	0
155.250000	-nan	0	0	0
155.500000	-nan	0	0	0
155.750000	-nan	0	0	0
156.000000	-nan	0	0	0
156.250000	-nan	0	0	0
156.500000	-nan	0	0	0
156.750000	-nan	0	0	0
157.000000	-nan	0	0	0
157.250000	-nan	0	0	0
157.500000	-nan	0	0	0
157.750000	-nan	0	0	0
158.000000	-nan	0	0	0
158.250000	-nan	0	0	0
158.500000	-nan	0	0	0
158.750000	-nan	0	0	0
159.000000	-nan	0	0	0
159.250000	-nan	0	0	0
159.500000	-nan	0	0	0
159.750000	-nan	0	0	0
160.000000	-nan	0	0	0
160.250000	-nan	0	0	0
160.500000	-nan	0	0	0
160.750000	-nan	0	0	0
161.000000	-nan	0	0	0
161.250000	-nan	0	0	0
161.500000	-nan	0	0	0
161.750000	-nan	0	0	0
162.000000	-nan	0	0	0
162.250000	-nan	0	0	0
162.500000	-nan	0	0	0
162.750000	-nan	0	0	0
163.000000	-nan	0	0	0
163.250000	-nan	0	0	0
163.500000	-nan	0	0	0
163.750000	-nan	0	0	0
164.000000	-nan	0	0	0
164.250000	-nan	0	0	0
164.500000	-nan	0	0	0
164.750000	-nan	0	0	0
165.000000	-nan	0	0	0
165.250000	-nan	0	0	0
165.500000	-nan	0	0	0
165.750000	-nan	0	0	0
166.000000	-nan	0	0	0
166.250000	-nan	0	0	0
166.500000	-nan	0	0	0
166.750000	-nan	0	0	0
167.000000	-nan	0	0	0
167.250000	-nan	0	0	0
167.500000	-nan	0	0	0
167.750000	-nan	0	0	0
168.000000	-nan	0	0	0
168.250000	-nan	0	0	0
168.500000	-nan	0	0	0
168.750000	-nan	0	0	0
169.000000	-nan	0	0	0
169.250000	-nan	0	0	0
169.500000	-nan	0	0	0
169.750000	-nan	0	0	0
170.000000	-nan	0	0	0
170.250000	-nan	0	0	0
170.500000	-nan	0	0	0
170.750000	-nan	0	0	0
171.000000	-nan	0	0	0
171.250000	-nan	0	0	0
171.500000	-nan	0	0	0
171.750000	-nan	0	0	0
172.000000	-nan	0	0	0
172.250000	-nan	0	0	0
172.500000	-nan	0	0	0
172.750000	-nan	0	0	0
173.000000	-nan	0	0	0
173.250000	-nan	0	0	0
173.500000	-nan	0	0	0
173.750000	-nan	0	0	0
174.000000	-nan	0	0	0
174.250000	-nan	0	0	0
174.500000	-nan	0	0	0
174.750000	-nan	0	0	0
175.000000	-nan	0	0	0
175.250000	-nan	0	0	0
175.500000	-nan	0	0	0
175.750000	-nan	0	0	0
176.000000	-nan	0	0	0
176.250000	-nan	0	0	0
176.500000	-nan	0	0	0
176.750000	-nan	0	0	0
177.000000	-nan	0	0	0
177.250000	-nan	0	0	0
177.500000	-nan	0	0	0
177.750000	-nan	0	0	0
178.000000	-nan	0	0	0
178.250000	-nan	0	0	0
178.500000	-nan	0	0	0
178.750000	-nan	0	0	0
179.000000	-nan	0	0	0
179.250000	-nan	0	0	0
179.500000	-nan	0	0	0
179.750000	-nan	0	0	0
